keywords,_collection_id,collection_id,variable_id,preset,tipo_estabelecimento,sizing_variable_id,indicator_label,indicator_id,variant_of,indicator_type,filter,m_description,variant_label,measure_unit,indicator_path,Tipo,skip,m_description,m_year,m_link_title1,m_link_1,m_link_title2,m_link_2,Arquivo,metodology
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,int_horas_sus,cem_saude_2024,UNIDADE BASICA DE SAUDE,,Horas SUS,UNIDADE_BASICA_DE_SAUDE_int_horas_sus,,numerical_size,"{str_tipo_estabelecimento: ['==', 'UNIDADE BASICA DE SAUDE']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / UBS / Profissionais,,,Total de horas dedicadas ao SUS de todos os profissionais da UBS.,2023,,,,,CNES TABWIN,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/UNIDADE_BASICA_DE_SAUDE_int_horas_sus.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,int_medicos,cem_saude_2024,UNIDADE BASICA DE SAUDE,,Quantidade de Médicos,UNIDADE_BASICA_DE_SAUDE_int_medicos,,numerical_size,"{str_tipo_estabelecimento: ['==', 'UNIDADE BASICA DE SAUDE']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / UBS / Profissionais,,,"Quantidade de médicos atuando na UBS, independente de carga horária profissional.",2023,,,,,CNES TABWIN,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/UNIDADE_BASICA_DE_SAUDE_int_medicos.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,int_profs,cem_saude_2024,UNIDADE BASICA DE SAUDE,,Quantidade de Profissionais,UNIDADE_BASICA_DE_SAUDE_int_profs,,numerical_size,"{str_tipo_estabelecimento: ['==', 'UNIDADE BASICA DE SAUDE']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / UBS / Profissionais,,,"Total de profissionais, incluindo médicos, atuando na UBS.",2023,,,,,CNES TABWIN,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/UNIDADE_BASICA_DE_SAUDE_int_profs.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,bool_at_24h,cem_saude_2024,UNIDADE BASICA DE SAUDE,,Turno de Atendimento 24 horas,UNIDADE_BASICA_DE_SAUDE_bool_at_24h,,boolean_categorical,"{str_tipo_estabelecimento: ['==', 'UNIDADE BASICA DE SAUDE']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / UBS / Infraestrutura,,,Indica se a UBS possui atendimento 24 horas ou não.,2023,,,,,,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/UNIDADE_BASICA_DE_SAUDE_bool_at_24h.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,bool_inst_aa,cem_saude_2024,UNIDADE BASICA DE SAUDE,int_inst_aa,Instalações de Atendimento Ambulatorial,UNIDADE_BASICA_DE_SAUDE_bool_inst_aa,,boolean_categorical,"{str_tipo_estabelecimento: ['==', 'UNIDADE BASICA DE SAUDE']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / UBS / Instalações,,,Presença e quantidade de instalações físicas de atendimento ambulatorial na UBS.,2023,,,,,,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/UNIDADE_BASICA_DE_SAUDE_bool_inst_aa.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,bool_inst_cc,cem_saude_2024,UNIDADE BASICA DE SAUDE,int_inst_cc,Instalações de Atendimento Cirúrgico,UNIDADE_BASICA_DE_SAUDE_bool_inst_cc,,boolean_categorical,"{str_tipo_estabelecimento: ['==', 'UNIDADE BASICA DE SAUDE']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / UBS / Instalações,,,"Presença e quantidade de instalações físicas do tipo ""centro cirúrgico"" na UBS.",2023,,,,,,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/UNIDADE_BASICA_DE_SAUDE_bool_inst_cc.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,bool_inst_co,cem_saude_2024,UNIDADE BASICA DE SAUDE,int_inst_co,Instalações de Atendimento Obstétrico,UNIDADE_BASICA_DE_SAUDE_bool_inst_co,,boolean_categorical,"{str_tipo_estabelecimento: ['==', 'UNIDADE BASICA DE SAUDE']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / UBS / Instalações,,,"Presença e quantidade de instalações físicas do tipo ""centro obstétrico"" na UBS.",2023,,,,,,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/UNIDADE_BASICA_DE_SAUDE_bool_inst_co.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,bool_inst_ue,cem_saude_2024,UNIDADE BASICA DE SAUDE,int_inst_ue,Instalações de Urgência/Emergência,UNIDADE_BASICA_DE_SAUDE_bool_inst_ue,,boolean_categorical,"{str_tipo_estabelecimento: ['==', 'UNIDADE BASICA DE SAUDE']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / UBS / Instalações,,,Presença e quantidade de instalações físicas de emergência na UBS.,2023,,,,,,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/UNIDADE_BASICA_DE_SAUDE_bool_inst_ue.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,bool_inst_un,cem_saude_2024,UNIDADE BASICA DE SAUDE,int_inst_un,Instalações de Atendimento Neonatal,UNIDADE_BASICA_DE_SAUDE_bool_inst_un,,boolean_categorical,"{str_tipo_estabelecimento: ['==', 'UNIDADE BASICA DE SAUDE']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / UBS / Instalações,,,Presença e quantidade de instalações físicas de atendimento neonatal na UBS.,2023,,,,,,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/UNIDADE_BASICA_DE_SAUDE_bool_inst_un.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,bool_leitos,cem_saude_2024,UNIDADE BASICA DE SAUDE,int_leitos_sus,Leitos SUS,UNIDADE_BASICA_DE_SAUDE_bool_leitos,,boolean_categorical,"{str_tipo_estabelecimento: ['==', 'UNIDADE BASICA DE SAUDE']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / UBS / Infraestrutura,,,Presença e quantidade de leitos hospital na UBS.,2023,,,,,,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/UNIDADE_BASICA_DE_SAUDE_bool_leitos.md
